Date : 2025-11-19 15:40:20
Directory : c:\Users\snltty\Desktop\linker\src\linker.web
Total : 218 files,  24592 codes, 40 comments, 1113 blanks, all 25745 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |        118 |     11,597 |          7 |        772 |     12,376 |
| JSON               |          2 |     10,030 |          0 |          2 |     10,032 |
| JavaScript         |         47 |      2,451 |         23 |        220 |      2,694 |
| PostCSS            |          1 |        394 |          9 |        109 |        512 |
| XML                |         46 |         50 |          0 |          0 |         50 |
| HTML               |          2 |         36 |          1 |          4 |         41 |
| JSON with Comments |          1 |         19 |          0 |          1 |         20 |
| Markdown           |          1 |         15 |          0 |          5 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        218 |     24,592 |         40 |      1,113 |     25,745 |
| . (Files)                                                                                       |          6 |     10,079 |          0 |         10 |     10,089 |
| public                                                                                          |         41 |         75 |          1 |          4 |         80 |
| src                                                                                             |        171 |     14,438 |         39 |      1,099 |     15,576 |
| src (Files)                                                                                     |          3 |        165 |          3 |         17 |        185 |
| src\apis                                                                                        |         21 |        583 |         19 |         57 |        659 |
| src\assets                                                                                      |          8 |        405 |          9 |        109 |        523 |
| src\lang                                                                                        |          4 |        891 |          0 |         71 |        962 |
| src\router                                                                                      |          1 |         63 |          0 |          3 |         66 |
| src\views                                                                                       |        134 |     12,331 |          8 |        842 |     13,181 |
| src\views (Files)                                                                               |          3 |        246 |          0 |         25 |        271 |
| src\views\components                                                                            |        105 |      9,979 |          8 |        658 |     10,645 |
| src\views\components\accesss                                                                    |          6 |        264 |          0 |         25 |        289 |
| src\views\components\action                                                                     |          4 |        151 |          0 |          8 |        159 |
| src\views\components\adv                                                                        |          1 |         39 |          0 |          7 |         46 |
| src\views\components\decenter                                                                   |          1 |         43 |          0 |          3 |         46 |
| src\views\components\device                                                                     |          4 |        325 |          1 |         23 |        349 |
| src\views\components\firewall                                                                   |          5 |        595 |          0 |         35 |        630 |
| src\views\components\flow                                                                       |         15 |      1,482 |          0 |        128 |      1,610 |
| src\views\components\flow (Files)                                                               |         12 |      1,283 |          0 |        108 |      1,391 |
| src\views\components\flow\messenger                                                             |          1 |        101 |          0 |         11 |        112 |
| src\views\components\flow\stopwatch                                                             |          2 |         98 |          0 |          9 |        107 |
| src\views\components\forward                                                                    |          8 |      1,094 |          1 |         51 |      1,146 |
| src\views\components\global                                                                     |          2 |         33 |          0 |          9 |         42 |
| src\views\components\groups                                                                     |          2 |        241 |          3 |          8 |        252 |
| src\views\components\oper                                                                       |          2 |        161 |          0 |         17 |        178 |
| src\views\components\plan                                                                       |          3 |        435 |          0 |         21 |        456 |
| src\views\components\relay                                                                      |          3 |        419 |          0 |         14 |        433 |
| src\views\components\socks5                                                                     |          5 |        444 |          0 |         23 |        467 |
| src\views\components\status                                                                     |          6 |        632 |          2 |         40 |        674 |
| src\views\components\status (Files)                                                             |          3 |        396 |          2 |         23 |        421 |
| src\views\components\status\server                                                              |          3 |        236 |          0 |         17 |        253 |
| src\views\components\sync                                                                       |          2 |        149 |          0 |          7 |        156 |
| src\views\components\transport                                                                  |          4 |        187 |          0 |         12 |        199 |
| src\views\components\tunnel                                                                     |          6 |        759 |          1 |         63 |        823 |
| src\views\components\tuntap                                                                     |         10 |      1,044 |          0 |         63 |      1,107 |
| src\views\components\updater                                                                    |          4 |        327 |          0 |         26 |        353 |
| src\views\components\wakeup                                                                     |          5 |        521 |          0 |         22 |        543 |
| src\views\components\wlist                                                                      |          7 |        634 |          0 |         53 |        687 |
| src\views\layout                                                                                |         26 |      2,106 |          0 |        159 |      2,265 |
| src\views\layout\full                                                                           |         23 |      1,900 |          0 |        145 |      2,045 |
| src\views\layout\full (Files)                                                                   |          1 |         63 |          0 |          3 |         66 |
| src\views\layout\full\action                                                                    |          1 |         25 |          0 |          0 |         25 |
| src\views\layout\full\config                                                                    |          2 |        123 |          0 |          5 |        128 |
| src\views\layout\full\firewall                                                                  |          1 |         34 |          0 |          3 |         37 |
| src\views\layout\full\head                                                                      |          5 |        395 |          0 |         39 |        434 |
| src\views\layout\full\install                                                                   |          7 |        618 |          0 |         35 |        653 |
| src\views\layout\full\list                                                                      |          2 |        270 |          0 |         37 |        307 |
